year_id,period_id,origin,destination,period,start,end
290_2020,1,3,3,864000,2020-01-01,2020-01-11
291_2017,1,0,0,864000,2020-01-01,2020-01-11
307_2017,1,0,0,864000,2020-01-01,2020-01-11
308_2017,1,0,0,864000,2020-01-01,2020-01-11
308_2018,1,2,2,864000,2020-01-01,2020-01-11
320_2017,1,0,0,864000,2020-01-01,2020-01-11
320_2018,1,2,2,864000,2020-01-01,2020-01-11
321_2017,1,0,0,864000,2020-01-01,2020-01-11
321_2020,1,2,2,864000,2020-01-01,2020-01-11
321_2021,1,2,2,864000,2020-01-01,2020-01-11
321_2022,1,2,2,864000,2020-01-01,2020-01-11
321_2023,1,2,2,864000,2020-01-01,2020-01-11
331_2017,1,0,0,864000,2020-01-01,2020-01-11
331_2018,1,3,3,864000,2020-01-01,2020-01-11
331_2019,1,3,3,864000,2020-01-01,2020-01-11
337_2017,1,0,0,864000,2020-01-01,2020-01-11
337_2018,1,3,3,864000,2020-01-01,2020-01-11
339_2017,1,0,0,864000,2020-01-01,2020-01-11
339_2018,1,2,2,864000,2020-01-01,2020-01-11
343_2017,1,0,0,864000,2020-01-01,2020-01-11
343_2018,1,2,2,864000,2020-01-01,2020-01-11
343_2019,1,2,2,864000,2020-01-01,2020-01-11
343_2020,1,4,2,864000,2020-01-01,2020-01-11
347_2017,1,0,0,864000,2020-01-01,2020-01-11
347_2019,1,2,2,864000,2020-01-01,2020-01-11
350_2018,1,3,3,864000,2020-01-01,2020-01-11
351_2017,1,0,0,864000,2020-01-01,2020-01-11
351_2018,1,2,2,864000,2020-01-01,2020-01-11
351_2019,1,2,2,864000,2020-01-01,2020-01-11
354_2017,1,0,0,864000,2020-01-01,2020-01-11
354_2020,1,2,2,864000,2020-01-01,2020-01-11
354_2021,1,2,2,864000,2020-01-01,2020-01-11
354_2022,1,2,2,864000,2020-01-01,2020-01-11
358_2017,1,0,0,864000,2020-01-01,2020-01-11
358_2018,1,2,2,864000,2020-01-01,2020-01-11
358_2019,1,2,2,864000,2020-01-01,2020-01-11
359_2017,1,0,0,864000,2020-01-01,2020-01-11
359_2018,1,2,2,864000,2020-01-01,2020-01-11
359_2019,1,2,2,864000,2020-01-01,2020-01-11
359_2020,1,0,0,864000,2020-01-01,2020-01-11
359_2021,1,0,0,864000,2020-01-01,2020-01-11
363_2017,1,0,0,864000,2020-01-01,2020-01-11
367_2017,1,0,0,864000,2020-01-01,2020-01-11
367_2018,1,2,2,864000,2020-01-01,2020-01-11
367_2019,1,2,2,864000,2020-01-01,2020-01-11
367_2020,1,2,2,864000,2020-01-01,2020-01-11
367_2021,1,5,4,864000,2020-01-01,2020-01-11
367_2022,1,2,2,864000,2020-01-01,2020-01-11
370_2017,1,0,0,864000,2020-01-01,2020-01-11
370_2018,1,2,2,864000,2020-01-01,2020-01-11
370_2019,1,2,2,864000,2020-01-01,2020-01-11
370_2020,1,2,2,864000,2020-01-01,2020-01-11
370_2021,1,2,2,864000,2020-01-01,2020-01-11
373_2017,1,0,0,864000,2020-01-01,2020-01-11
373_2018,1,2,2,864000,2020-01-01,2020-01-11
375_2017,1,0,0,864000,2020-01-01,2020-01-11
375_2018,1,2,2,864000,2020-01-01,2020-01-11
386_2017,1,0,0,864000,2020-01-01,2020-01-11
386_2018,1,3,3,864000,2020-01-01,2020-01-11
387_2017,1,0,0,864000,2020-01-01,2020-01-11
387_2018,1,2,2,864000,2020-01-01,2020-01-11
387_2019,1,2,2,864000,2020-01-01,2020-01-11
388_2017,1,0,0,864000,2020-01-01,2020-01-11
388_2018,1,5,5,864000,2020-01-01,2020-01-11
389_2017,1,0,0,864000,2020-01-01,2020-01-11
396_2018,1,3,3,864000,2020-01-01,2020-01-11
398_2017,1,0,0,864000,2020-01-01,2020-01-11
399_2017,1,0,0,864000,2020-01-01,2020-01-11
399_2018,1,2,2,864000,2020-01-01,2020-01-11
399_2019,1,2,2,864000,2020-01-01,2020-01-11
401_2017,1,0,0,864000,2020-01-01,2020-01-11
401_2018,1,2,2,864000,2020-01-01,2020-01-11
401_2019,1,2,2,864000,2020-01-01,2020-01-11
401_2020,1,2,2,864000,2020-01-01,2020-01-11
401_2021,1,2,2,864000,2020-01-01,2020-01-11
401_2022,1,2,2,864000,2020-01-01,2020-01-11
402_2017,1,0,0,864000,2020-01-01,2020-01-11
402_2018,1,2,2,864000,2020-01-01,2020-01-11
402_2019,1,2,2,864000,2020-01-01,2020-01-11
402_2020,1,2,2,864000,2020-01-01,2020-01-11
402_2021,1,2,2,864000,2020-01-01,2020-01-11
402_2022,1,4,4,864000,2020-01-01,2020-01-11
403_2017,1,0,0,864000,2020-01-01,2020-01-11
403_2018,1,2,2,864000,2020-01-01,2020-01-11
403_2019,1,2,2,864000,2020-01-01,2020-01-11
403_2020,1,2,2,864000,2020-01-01,2020-01-11
403_2021,1,2,2,864000,2020-01-01,2020-01-11
403_2022,1,2,2,864000,2020-01-01,2020-01-11
403_2023,1,2,2,864000,2020-01-01,2020-01-11
403_2024,1,2,2,864000,2020-01-01,2020-01-11
411_2017,1,0,0,864000,2020-01-01,2020-01-11
411_2018,1,2,2,864000,2020-01-01,2020-01-11
411_2019,1,2,2,864000,2020-01-01,2020-01-11
411_2020,1,2,2,864000,2020-01-01,2020-01-11
411_2021,1,2,2,864000,2020-01-01,2020-01-11
411_2022,1,2,2,864000,2020-01-01,2020-01-11
416_2017,1,0,0,864000,2020-01-01,2020-01-11
416_2018,1,5,5,864000,2020-01-01,2020-01-11
417_2017,1,0,0,864000,2020-01-01,2020-01-11
417_2018,1,3,3,864000,2020-01-01,2020-01-11
421_2018,1,2,2,864000,2020-01-01,2020-01-11
422_2018,1,3,3,864000,2020-01-01,2020-01-11
425_2018,1,5,5,864000,2020-01-01,2020-01-11
425_2019,1,3,3,864000,2020-01-01,2020-01-11
425_2020,1,3,3,864000,2020-01-01,2020-01-11
425_2021,1,3,3,864000,2020-01-01,2020-01-11
425_2022,1,3,2,864000,2020-01-01,2020-01-11
425_2023,1,3,3,864000,2020-01-01,2020-01-11
425_2024,1,3,3,864000,2020-01-01,2020-01-11
426_2017,1,0,0,864000,2020-01-01,2020-01-11
426_2018,1,2,2,864000,2020-01-01,2020-01-11
426_2019,1,2,2,864000,2020-01-01,2020-01-11
426_2020,1,2,2,864000,2020-01-01,2020-01-11
426_2021,1,2,2,864000,2020-01-01,2020-01-11
426_2022,1,2,2,864000,2020-01-01,2020-01-11
426_2023,1,2,2,864000,2020-01-01,2020-01-11
426_2024,1,2,2,864000,2020-01-01,2020-01-11
429_2017,1,0,0,864000,2020-01-01,2020-01-11
431_2018,1,4,4,864000,2020-01-01,2020-01-11
431_2019,1,2,2,864000,2020-01-01,2020-01-11
437_2017,1,0,0,864000,2020-01-01,2020-01-11
437_2018,1,2,2,864000,2020-01-01,2020-01-11
437_2019,1,2,2,864000,2020-01-01,2020-01-11
437_2020,1,2,2,864000,2020-01-01,2020-01-11
437_2021,1,2,2,864000,2020-01-01,2020-01-11
437_2024,1,0,0,864000,2020-01-01,2020-01-11
437_2025,1,2,2,864000,2020-01-01,2020-01-11
438_2017,1,0,0,864000,2020-01-01,2020-01-11
438_2018,1,2,2,864000,2020-01-01,2020-01-11
438_2019,1,2,2,864000,2020-01-01,2020-01-11
438_2020,1,2,2,864000,2020-01-01,2020-01-11
438_2021,1,2,2,864000,2020-01-01,2020-01-11
438_2022,1,2,2,864000,2020-01-01,2020-01-11
442_2021,1,2,2,864000,2020-01-01,2020-01-11
444_2017,1,0,0,864000,2020-01-01,2020-01-11
455_2017,1,0,0,864000,2020-01-01,2020-01-11
455_2018,1,2,2,864000,2020-01-01,2020-01-11
455_2019,1,2,2,864000,2020-01-01,2020-01-11
455_2020,1,2,2,864000,2020-01-01,2020-01-11
455_2021,1,2,0,864000,2020-01-01,2020-01-11
460_2017,1,0,0,864000,2020-01-01,2020-01-11
460_2018,1,2,2,864000,2020-01-01,2020-01-11
460_2019,1,2,2,864000,2020-01-01,2020-01-11
460_2020,1,7,7,864000,2020-01-01,2020-01-11
460_2021,1,3,3,864000,2020-01-01,2020-01-11
460_2022,1,3,3,864000,2020-01-01,2020-01-11
